Référence,Type de bien,Location / Colocation,Loyer location €/mois avec charges,Loyer colocation €/mois,Surface totale m²,€/m²,Nb pièces,Nb chambres,Autres,Commune,Détail Localisation,Note localisation,Etiquette NRJ,Etiquette GES,Coût copro /an,Coût charge /chambre (si coloc) /an,Autres coûts /an,Lien,Description entière annonce,Date publication annonce
21,Appartement,Colocation,415,1245,65,"19,15384615",4,3,,CLERMONT-FERRAND,Proche facs droit,4,D,D,,480,,https://www.leboncoin.fr/colocations/1888899699.htm,"Colocation de 3 chambres dans appartement refais à neuf dans le secteur la Pradelle/ Oradou. 2 personnes personnes déjà présentes dans le logement. L'appartement fait 65 m2 et est situé au 2 eme étage. Situation : 10 min à pied de la gare 15 min à pied des universités de lettre et droit 15 min à pied de l'école ECS Business school 15 min à pied du jardin lecoq Le logement est équipé de : - grand séjour salle à manger avec Smart TV - wifi internet -cuisine moderne : • plaques à induction, • hotte aspiration, • grand réfrigérateur avec congélateur, • four, • machine à café • lave-vaisselle et lave-linge • vaisselle et ustensiles de cuisine Les chambres sont équipées de : - Un lit 140*190 - Un bureau et une chaise - Un placard pour ranger toutes vos affaires L’appartement est fonctionnel, très pratique, et a tout le nécessaire. Vous n'avez plus qu'à poser vos valises dans la chambre disponible à partir du 15 décembre Le loyer est de 375 Euros HC Prévoir 40 euros de charges ( électricité, gaz )",3/12/2020
22,Appartement,Colocation,273,819,172,"4,761627907",6,3,,GRENOBLE,Gare,5,,,,,,https://www.leboncoin.fr/colocations/1884994948.htm,"Bonjour Bonjour! Souhaitant partir à l'aventure malgré le covid, je m'en dois donc de laisser cette super coloc. L'appartement est disponible dès à présent! Petit tour d'horizon: il restera Antoine, 26 ans, qui travaille dans un cabinet d'architecte. Et Alex, 28 ans, en cinquième année de médecine. Les deux gaillards sont franchement super sympas, et j'aimerai bien leur trouver un(e) coloc qui restera un bon moment, qui aime jouer à Mario Kart, et qui saura apprécier les discussions pleines de bonne humeur! Concernant l'appartement, il est grand, bien agencé, possède une des meilleure baignoire que tu aura l'occasion d'utiliser. La cuisine est équipée d'un frigo et d'une super gazinière pour cuisiner tes tartes ou pizza surgelées. Dans le salon, il y a un projecteur pour les soirées films ou wii. Et surtout il y a une terrasse avec de la verdure! Situé à deux pas de l'arrêt Saint Bruno, quatre pas de la gare et un pas et demi du marché de l'estacade, on a donc un appartement bien situé, qui reste toutefois calme au niveau du voisinage. La chambre est la plus petite de l'appartement, et contrairement à la photo, ne possède qu'un lit franchement confortable. Je peux toutefois voir pour te laisser une de mes étagère si tu es en galère :) Au niveau pratique, l'appartement est en caution solidaire et est géré par une agence. Il faut donc rajouter 300 euros de frais d'agence. (le classique, mais ça va encore) Il n'y a pas de charges prélevées chaque mois, mais on tourne sur du 30 euros par mois en considérant que tu passes deux heures sous l'eau chaude chaque jour. Voilà, n'hésite pas à m'envoyer un sms ou un message sur le site (évite de m'appeler, je travaille donc je ne pourrais pas répondre) pour plus de renseignements et voir pour caler une visite en face à face ou en visio ;) PS: par contre nous ne pourrons pas accepter les animaux de compagnie, Alex étant allergique :(",9/12/2020
23,Appartement,Colocation,420,1260,,"14,55372582",,3,meublé,GRENOBLE,"ligne de tram C entre les arrêts ""Vallier Dr Calmette"" et ""Vallier Catane""",5,,,,960,,https://www.leboncoin.fr/colocations/1892175859.htm,"Dans une coloc à partager avec Mael et Victoria une chambre se libère ! L'appartement, situé au 8e étage est entièrement meublé et comporte une pièce commune avec cuisine entièrement équipée (plaques vitrocéramiques, four, réfrigérateur et congélateur, lave vaisselle) ouverte sur salon. Il y a également une grande véranda avec vue sur la Chartreuse et Belledonne. La chambre est meublée avec un lit double, couette et oreillers, un bureau et chaise de bureau, un placard de rangement avec espaces penderie et étagères, une table et lampe de chevet. Machine à laver également prévue dans l'appartement. L'appartement est situé sur le boulevard Joseph Vallier sur la ligne de tram C entre les arrêts ""Vallier Dr Calmette"" et ""Vallier Catane"", qui va de Fontaine jusqu'au Campus Universitaire de Saint Martin d'Hères. C5 Express également à quelques pas de l'immeuble (qui vous emmènera à la gare en 7 min) Bail individuel, pas de caution solidaire, chacun est indépendant 1 mois de préavis. Loyer : 420€ + 80€ de charges Inclus dans les charges : Eau chaude, électricité, chauffage, charges de copropriété, TV et internet. Eligible aux APL Si intéressé(e) pour plus d'informations ou pour visiter, me contacter directement par téléphone au 06 63 95 46 20 Ou retrouvez-moi sur lacolocagrenoble.wordpress .com",9/12/2020
24,Maison,Colocation,350,1050,86,"12,20930233",4,3,,GRENOBLE,l’Estacade,5,,,,,,https://www.leboncoin.fr/colocations/1892135817.htm,"Salut, Une chambre s’est libérée dans notre coloc de trois à l’Estacade. Nous sommes donc deux à rester : Sofian, 32 ans, graphiste (en télétravail) et Claire, 30 ans, instit’. L’appartement est situé dans une maison de ville qui donne sur l’Estacade (marché tous les matins sauf le lundi) juste à côté de l’arrêt de tram Condorcet (tram E). La maison est séparée en deux appartements, deux colocs. On s’est pas mal rapprochés de la coloc du bas pendant le dernier confinement, on est souvent les uns chez les autres et même si c’est plutôt calme la semaine, on profite bien de nos soirées les weekends :) Pour les courses on les fait séparément, on essaie d’alterner pour les produits qu’on partage. Côté ménage et rangement, on n’est pas maniaque mais on essaie que ce ne soit pas trop le bordel non plus. L’organisation peut bien entendu évoluer avec l’arrivée d’un(e) nouveau(elle) coloc ;) Etant tous les deux fumeurs, nous avons décidé de fumer à l’intérieur en aérant régulièrement. L’appartement fait environ 120 m² au sol et 86 m² loi Carrez. Il est sur deux niveaux : - Au premier : hall d’entrée avec placard, salle de douche, WC séparés, cuisine équipée (four, plaques de cuissons au gaz, frigo-congélateur…) ouverte sur un grand salon avec cheminée (sera ramonée le 21 décembre), une chambre. - Au deuxième : mezzanine qui sert de coin bureau/espace tv, 2 chambres (dont celle qui se libère, cf photo), salle de bain et WC séparés. La chambre qui se libère est donc sous les toits, elle fait une dizaine de m² au sol et dispose d’un petit placard intégré. Le propriétaire a prévu de réaliser des travaux d’isolation du toit par l’extérieur au mois de janvier et s’est également engagé à refaire la cuisine. Pour ce qui est du prix du loyer, il est de 1 105€, à nous de voir comment on se le répartit, sachant que les chambres sont inégales en termes de superficie et de confort (la tienne sera la moins chère). Voilà, voilà, la chambre est déjà libre (et sera nettoyée à ton arrivée ^^) si tu es intéressé(e) n’hésite pas à nous envoyez un message, nous passer un coup de fil et/ou à venir nous rencontrer autour d’un verre ou d’autre chose :) Claire : 06 04 50 51 29 Sofian : 07 69 56 63 28",9/12/2020
25,Appartement,Colocation,300,900,60,15,4,3,"équipé, cave a velo, parking",GRENOBLE,rue Hypolite Muler,4,A,B,,,,https://www.leboncoin.fr/colocations/1892090182.htm,"Colocation une chambre vient de se libérer ( coloc de 3) ilya un étudiant et une étudiante qui sont déjà dans l’appartement... Tout équipé lave linges sèche linges... ainsi que la chambre... garage à vélos commun, cave personnel, parking privé sécurisé ( gratuit) très jolie parc à côté ....... peut se louer pour 2 mois ...300euros charges de copropriétés incluses",9/12/2020
26,Appartement,Colocation,399,2394,200,"11,97",12,6,equipé,GRENOBLE,fontaine centre,3,,,,,,https://www.leboncoin.fr/colocations/1886688481.htm,"Très grand Appartement entièrement neuf situé en centre de Fontaine dans un quartier résidentiel a 10min de Grenoble et du CEA en vélo, tous proche de la digue. (Rue Jean Pain 38600 Fontaine) Tram et transport en commun tous proche. Place de parking devant l'immeuble. Toute commodité dans le quartier. Avec une superficie de 200m2 entièrement neuve comprenant 6 chambres de 10/12M2 fermé par clé personnel avec lit simple, bureau et dressing, 3 salles de bains (séparer entre fille et garçon), 3 toilettes, un grand séjour avec deux canapés et bibliothèque et une cuisine indépendante tous équipés avec une grande table a manger, buanderie et casier individuel et une cour. Vous pourrez avoir l'indépendance qu'il vous faut. Place pour vélo et voiture garé en sécurité dans la cour. Entièrement meublé et aménagé vous n'aurez plus qu'à poser vos habits. 399€ de loyer mensuel tous compris la chambre. Pas de charge en plus et même une dame de maison chaque semaine pour le nettoyage de l'appartement (3H par semaine pour sol, wc, salle d'eau, aspirateur) Taxe d'habitation, Electricité, Eau, internet en wifi compris dans le loyer. Aménagement : cuisine entièrement équipée avec vaisselle, machine a café expresso, machine a laver, sèche linge, tous le linge de maison, tv, internet. Grand Frigo et congélateur, dressing, bureau, lit, luminaire. Disponible a partir du 1 Decembre 2020. IMPORTANT : Location minimum de 6 mois. Les fêtes ne sont pas acceptés et il est interdit d'inviter un amis pour dormir. Une caution de un mois sera demandé. Paiement par virement. Pour chaque dossier sera demandé une caution et un cautionnaire garant. Les dossiers comprenant des aides CAF (APL) son accepté (remplie par le demandeur)",9/12/2020
27,Appartement,Colocation,400,1200,76,"15,78947368",4,3,Meublé rénové,GRENOBLE,rue claude kogan,2,E,E,,,,https://www.leboncoin.fr/colocations/1892043220.htm,"Propose 3 chambres dans une colocation de 80 m carrés refait , situé rue claude kogan à grenoble , proche arret bus et tram, parking gratuit au pied de la residence, arrivée en voiture facile par la rocade sud. Colocation entierrement meublée. Louée 400 euros la chambre toute chargese comprises ( eau , electricité, internet ) Proche ecole architecte",8/12/2020
28,Appartement,Colocation,400,1600,85,"18,82352941",5,4,"refait à neuf equipé, garage à velo et cave",GRENOBLE,15 Avenue de Washington GRENOBLE,3,,,,,,https://www.leboncoin.fr/colocations/1892032962.htm,"15 Avenue de Washington GRENOBLE Petite rue calme sans circulation, stationnement gratuit. Au 3eme étage sans ascenseur. 3 chambres sur 4 de disponibles TRAM C au bout de la rue, proche caserne de Bonne. Belles prestations refait à neuf, très lumineux avec parking privé possible. Cette colocation calme et confortable entièrement équipée, s'adresse aux jeunes actifs et étudiants. LOYER 350 eur + 50 eur soit 400 euros TOUT COMPRIS : - ⚡ Électricité - 💧 Eau - ♨️ Chauffage - 🌐 Internet fibre - 📺 TV L'APPARTEMENT : - Garage à vélos et cave à disposition LES EQUIPEMENTS : - 📋 Lave-linge / Séche-linge / Cafetière et Théière / Frigo / Plaque induction / Micro-ondes grill / Fer à repasser / Aspirateur / Balai / Poele... SALON avec balcon Table et chaises, Télé, canapé, Box fibre... CHAMBRE 11 à 12m2: Avec couette neuve, oreillers neufs fournis, matelas neuf haute densité, parrure drap neuve. EMPLACEMENT : - ℹ️ Situé à Grenoble limite Saint Martin d' hères - 🛒 Superette a proximité, marché. - 🛍️ Centre ville rapide avec la ligne 12 - 📚 Proche des des universités et campus de Saint Martin d'Hères DEPLACEMENTS : - 🅿️ Parking privé possible - 🚊 Tram C arret foch ferrié - 🚌 Bus : a proximité ligne C5 chrono pour le Campus universitaire ou Ligne 12 pour le centre ville. - 🚴 Vélo : garage vélo ou cave Pas de frais d'agence. Bail individuel (sans clause de solidarité). Appartement éligible aux aides au logement ALS/APL. 2 mois de loyer de caution (hors charges). 1 mois de préavis de départ Les locataires actuels sont non fumeurs, les animaux ne sont pas acceptés, interdiction de fumer dans l'appartement. Merci m'envoyer une description de votre profil (salarié, étudiant, garants ou non, etc.) ainsi que les motivations qui vous amènent à vivre en colocation à Grenoble. Possible visite virtuelle sur WHATTSAPP Cordialement",8/12/2020
29,Appartement,Colocation,390,1560,82,"19,02439024",5,4,cuisine tout équipée garage à vélo + place de parking,GRENOBLE,Capuche alliée,2,,,,,,https://www.leboncoin.fr/colocations/1892027948.htm,Colocation de 82 m2 situé rue Marquian au 7ième étage (vue imprenable sur les montagnes) 2 salles de bains / machine à laver / cuisine tout équipée Garage à vélo + place de parking Internet fibre compris dans les charges 3 chambres sur 4 dispo,8/12/2020
30,Appartement,Colocation,395,1185,98,"12,09183673",5,3,,GRENOBLE,"quai Perrière, quartier Saint Laurent",5,,,,540,,https://www.leboncoin.fr/colocations/1879126580.htm,"A GRENOBLE, dans un grand appartement atypique actuellement loué en colocation, l'un des 3 locataires ayant donné un préavis de départ, nous recherchons un ou une remplaçant ( e ) . Immeuble bien situé sur le quai Perrière, quartier Saint Laurent, face à la passerelle piétonne donnant accès directement au centre ville. LOYER : 1142 Euros + Charges 45 Euros soit 1187 Euros par mois ( 395 Euros par locataire )",8/12/2020
31,Appartement,Colocation,495,1485,88,"16,875",4,3,"loggia, balcons copropriété sécurisée et fermée.",GRENOBLE,2 Boulevard Joseph Vallier,5,E,E,,,,https://www.leboncoin.fr/colocations/1864654119.htm,"APPARTEMENT ENTIEREMENT MEUBLE A PARTAGER , 4 pièces 3 chambres 88 m² LIBRE idéal pour jeune actif/active ou étudiant/e. EN COLOCATION 2 BOULEVARD JOSEPH VALLIER GRENOBLE L' appartement est situé au 2 Boulevard Joseph Vallier au 2 étage entièrement meuble et refait à neuf est composé d'un hall d'entrée , d'un séjour , de trois chambres d'une cuisine entièrement équipée , d'une belle salle de bain , de toilette séparées, d'une grande loggia et de balcons . Copropriété sécurisée et fermée. Idéalement situé à 5 minutes du centre ville de Grenoble 15minutes du campus 10 minutes à pied de GEM , à proximité de nombreux commerces, des écoles( GEM, COMPUS ) clinique mutualiste , des transports en communs Tram C ET E Chauffage individuel GAZ Loyer 495 €/mois par chambre (Electricité et eau non comprise) Dépôt de garantie :900.00 €",8/12/2020
32,Appartement,Colocation,460,1380,150,"9,2",5,3,,GRENOBLE,notre dame,5,,,,,,https://www.leboncoin.fr/colocations/1886957692.htm,"Nous sommes deux étudiantes (en sociologie et à Sciences Po) à la recherche d'un.e troisième colocataire pour mi janvier. L'appartement sera libre à partir du 21 janvier, il est très grand et était loué par des amis à nous donc pour les visites cela peut être assez facile à mettre en place! Ma colocataire est plutôt fêtarde et moi plutôt calme mais le bruit ne me dérange pas. Contactez moi sur cette adresse mail si la colocation peut vous intéresser: axelle.barthelemy@etu-iepg.fr",8/12/2020
33,Appartement,Colocation,305,610,67,"9,104477612",3,2,"Meublé, cave, loggia",SAINT-ETIENNE,"43 bis rue Montesquieu Il se trouve au niveau du Cours Fauriel, proche des écoles (art/sports) et à 20min (à pied) du centre-ville. - Il est facile de sortir de Saint-Etienne, car il se situe à 2 min de la voie rapide. - Arrêt de bus devant le bâtiment, pas de problème de stationnement dans la rue (ou possibilité d’avoir un parking privé (30€/mois).",4,C,C,,360,,https://www.leboncoin.fr/colocations/1893454245.htm,"Disponible au 1er janvier 2021 Idéal pour colocation. Eligible au APL et CAF Lieu : 43 bis rue Montesquieu, 42100 Saint Etienne Bâtiment propre et agréable, bien entretenu, le logement se situe au 4ème étage (sans ascenseur). Appartement idéal pour une famille / jeune couple ou collocation. Quartier très clame ! Caractéristiques : - Cuisine ouverte sur le salon, équipée d’un réfrigérateur neuf, gazinière (3 gaz + 1elec), machine à laver. Un plan de travail avec beaucoup de rangements. - Séjour (salle à manger + salon) de 27m² très lumineux et agréable. - 1 chambre de 13m² avec un dressing. - 1 chambre de 10m² / ou bureau. - Salle de bain et WC. - Loggia de 2m² - Cave de 8m² Chauffage gaz individuel Les alentours : - Il se trouve au niveau du Cours Fauriel, proche des écoles (art/sports) et à 20min (à pied) du centre-ville. - Il est facile de sortir de Saint-Etienne, car il se situe à 2 min de la voie rapide. - Arrêt de bus devant le bâtiment, pas de problème de stationnement dans la rue (ou possibilité d’avoir un parking privé (30€/mois). La location : - Logement à 305€ par locataire !! (275€ + 30 € de charges copropriété), MEUBLE Caution équivalente à un loyer : 610€ Si vous êtes intéressés, n’hésitez pas à me contacter pour plus d’informations. Merci de me contacter par mail de préférence. Au plaisir.",11/12/2020
34,Appartement,Colocation,345,1380,74,"18,64864865",5,4,"Refait à neuf en 2017, entièrement équipé",SAINT-ETIENNE,Proche facultés,4,,,,960,,https://www.leboncoin.fr/colocations/1893325465.htm,"Stéphanoises ! Stéphanois ! Rejoignez dès à présent cette colocation 4 chambres, refaite à neuve en 2017, entièrement équipée. Chambre tout confort avec lit simple et verrou individuel. Toutes charges incluses (eau, entretien des communs, chauffage, électricité, internet) : pas d'abonnement à prévoir. 4ième étage avec ascenseur et porte d'accès à l’immeuble sécurisée. Excellente luminosité. Balcon dans la pièce de vie. Cuisine toute équipée (lave-vaisselle notamment). Deux chambres de 12m2 et 10m2 (+ balcon privatif) sont équipées d'une salle de bains privative. Elles sont louées 290 euros chacune + 80 euros de charge. Les deux autres chambres de 9 m2 sont louées chacune 245 euros + 80 euros de charge. Frais de dossier (visite, validation de candidature, état des lieux entrée et sortie) : 120 euros TTC (réalisé par un professionnel) Dépôt de garantie : 1 mois de loyer + garant nécessaire. Bail meublé individuel sans clause de solidarité. Logement éligible à l'aide au logement. Visite virtuelle sur demande. Echange en anglais possible. Contact pour visite et renseignements : Valérie (valerie@ruedesvictoiresau 07 751 042 90 ou Thomas au 06 175 705 77 (bien laisser un message vocal ou sms avec vos coordonnées complètes si pas de réponse).",11/12/2020
35,Appartement,Colocation,330,660,40,"16,5",3,2,NEUF et LUMINEUX - idéal étudiants et jeunes travailleurs - 1 salle de bains/douche privative par chambre - parking et internet gratuit,SAINT-ETIENNE,idéalement situé entre le Cours Fauriel et Centre 2,4,,,,,,https://www.leboncoin.fr/colocations/1872256326.htm,"T3 MEUBLE - NEUF et LUMINEUX - idéal étudiants et jeunes travailleurs - 1 cuisine ouverte sur pièce commune, entièrement équipée, y compris vaisselle et lave linge - 2 chambres meublées literie confortable + 1 salle de bains/douche privative par chambre - Appartement phonique et thermique - Volets électriques parking et internet gratuit - Logement dans bâtiment privée, de 2 étages, sécurisé par portier - Proche grandes écoles - idéalement situé entre le Cours Fauriel et Centre 2 - espace vert et salle de sports proche - ligne de transports à proximité - visite possible sur rendez vous : Dominique 0616263490",11/12/2020
36,Appartement,Colocation,370,1110,80,"13,875",5,3,"meublé, éuipé, refait à neuf récemment",SAINT-ETIENNE,quartier ROCHETAILLEE,4,C,C,,960,,https://www.leboncoin.fr/colocations/1893297763.htm,"EN EXCLUSIVITÉ - A découvrir, cet appartement meublé de 80m² lumineux et traversant Est / Ouest. Il comprend un séjour salon de 26 m² exposé plein Est ouvert sur une cuisine aménagée de 10m². Séparées du coin jour, vous profiterez de 3 chambres entre 10 et 11 m² et d’une salle de bains avec douche et fenêtre. Dans un secteur calme et prisé de Saint-Étienne : ROCHETAILLEE. Situé à 500m de la Faculté, des écoles et du centre commercial Centre2. Accès direct et facile aux autoroutes par la RN88. À l’entrée, vous arriverez sur un grand espace de vie comprenant une cuisine totalement équipée, ouverte sur le séjour/salon, avec une grande table à manger et un salon aménagé (TV 4K, canapé, internet). Au centre, un dégagement amène sur un couloir desservant : - Les 3 chambres équipées : lit double (140*190) avec literie ressort de qualité, bureau avec prise RJ45, armoire et placards Chaque chambre possède une clef unique pour y accéder : vos affaires personnelles sont donc 100% sécurisées. - Une SDB avec douche Le logement est entièrement meublé et équipé : Machine à laver, écran plat, lit double, canapé, frigo avec distributeur d'eau, lave-vaisselle, four, micro-ondes, vaisselle fournie... Il a été refait à neuf récemment. Vous avez également accès à un parking sécurisé avec badge ainsi qu'à un local à vélo sécurisé. Le loyer par personne est de 290€, auquel il faut ajouter un forfait de 80€ de charges comprenant l'eau, l’électricité, le gaz, le forfait Internet et la taxe d'ordures ménagères. Dépôt de garantie : 290 € Montant des charges : 80 € Pas d'honoraire",11/12/2020
37,Appartement,Colocation,365,1460,120,"12,16666667",5,4,"Refait à neuf en 2018, meublé et équipé à neuf",SAINT-ETIENNE,Quartier beaubrun,3,,,,900,,https://docs.google.com/spreadsheets/d/1FJZICWt9AOL1YUS9f01ZHph7um7uqcpZkqceI6ybQBo/edit#gid=660475171,"Superbe appartement de 120 m² en colocation pour 4 où une chambre se libère le 31/07/2019. L’appartement a été refait entièrement à neuf en 2018. Traversant nord / sud, meublé et équipé à neuf. Situé au 1er étage d'un petit immeuble. Cet appartement dispose des pièces communes suivantes : * 1 grand séjour de 26 m² avec cuisine ouverte équipée. TV, internet haut débit fibre, four, four micro-ondes, lave-vaisselle, lave-linge, sèche-linge et réfrigérateur/congélateur. * 2 salles d'eau * 2 WC * 1 grand placard dans le couloir * 1 balcon coursive au sud. La chambre à une surface de 16 m² et est équipée d'un lit 140*200, 1 table de chevet avec lampe de chevet, un bureau avec lampe de bureau, 1 chaise de bureau, 1 fauteuil, 1 grand dressing. Prises TV et RJ 45 (fibre). Linge de lit fournis. Volets roulants électriques. Prix de la chambre :290 € par mois + Forfait charges de 75 € par chambre comprenant absolument tout. Aucune démarche administrative à faire. Situé dans le quartier Beaubrun, très actif avec tous les commerces au pied de l'immeuble, donnant sur une place dégagée avec arrêt de bus. Gare de Clapier à 5 mn et tramway à 7 mn à pied. Proche hyper centre. La coloc est composée de jeunes actifs, 3 hommes à ce jour. Premier contact par mail ou téléphone au 06 17 93 56 79.",9/12/2020
38,Appartement,Colocation,365,1095,74,"14,7972973",4,3,Vue panoramique dégagée,SAINT-ETIENNE,prox Place Albert Thomas,5,,,,900,,https://www.leboncoin.fr/colocations/1892148583.htm,Saint-Etienne - prox Place Albert Thomas Secteur calme à proximité de toutes commodités - Tram / Grand Rue / Campus Denis Papin à 3 min à pieds - Tréfilerie à 5 minutes à pied - Centre-Ville à 10 minutes à pied - Fauriel à 20 minutes à pied Appartement atypique de 74m² - entièrement meublé Cuisine ouverte sur séjour lumineux de 30m² Une chambre avec vue dégagée disponible (2 chambres déjà occupées) Vue panoramique dégagée - Prestations soignées Loyer : 290 € par chambre Charges : 75 € tout inclus (eau - électricité - chauffage - Internet - copro - entretient chaudière) Au plaisir d'échanger avec vous: 06 74 89 59 87 ou 06 81 29 87 33,9/12/2020
39,Appartement,Colocation,415,2490,211,"11,80094787",7,6,,SAINT-ETIENNE,"Rue Gambetta, secteur Peuple/Chavanelle",5,C,D,,780,,https://www.leboncoin.fr/colocations/1886631988.htm,"Rue Gambetta, secteur Peuple/Chavanelle, 1 place libre dans grande colocation MEUBLEE et EQUIPEE, dans vaste T8 comprenant CUISINE 20 m² ouverte sur séjour 40 m², 6 chambres bien distribuées, 3 SALLES DE BAIN/DOUCHE, BUANDERIE, 3 WC, entièrement EQUIPE, exposé Sud et Ouest, 3ème étage, ascenseur; ensoleillé, équipé FIBRE INTERNET, proche ligne de Tramway (Bellevue-Nord, gare de Châteaucreux), Universités et toutes commodités. La chambre proposée offre une surface de 20 m² et de nombreux rangements. Bon esprit de colocation, les colocataires sont tous de jeunes actifs. Compter environ 65 € pour les charges locatives, le gaz, l'électricité, le téléphone fixe, internet, l'eau, l'entretien de la chaudière, le ramonage et l'enlèvement des ordures ménagères.",8/12/2020
40,Appartement,Colocation,340,1020,72,"14,16666667",4,3,"Equipé de A à Z, tout est fourni, refait à neuf à 2019",SAINT-ETIENNE,"52 RUE DU 11 NOVEMBRE A proximité immédiate du tram, supermarché, banques, tabacs et autres commerces/ Centre commercial...",5,C,B,,480,,https://www.leboncoin.fr/colocations/1891845172.htm,"Bonjour à tous et à toutes !! Merci de bien lire l’annonce ☺ Bien tout confort… Je mets en colocation cet appartement de 72m2 refait complètement A NEUF il y a un an. (3 chambres) Il est composé d'un salon/cuisine, des chambres et d'une salle d’eau à part. Les travaux comprennent l’électricité, plomberie, chauffage, isolation, peintures, sols, décoration, etc… Ce dernier est situé en plein centre-ville de st Etienne au 52 RUE DU 11 NOVEMBRE A proximité immédiate du tram, supermarché, banques, tabacs et autres commerces/ Centre commercial... - Université Jean Monet - Bibliotheque universitaire - SMERRA - Université Tréfilerie - Centre commercial Centre deux - Prépa st Etienne Galien - Ecole supérieure de sécurité Toutes les autres écoles accessibles en tram en quelques minutes. Belles et GRANDES chambres parquet hauteur sous plafond de 3,15M armoire, table de chevai, lits 140x190, bureau, etc… tout est fourni... !! Appartement équipé de A à Z : = Machine à laver le linge, cuisine équipée, machine à café, four/micro-ondes, assiettes, lit, tables et chaises, déco, frigo-congélateur, cuisinière, vaisselle, accessoires de cuisine et couverts, etc. = A votre dispo : TV écran plat, Wi-Fi, literie, draps, serviettes, rangements, etc. Vous n’avez qu’à poser vos valises, vous êtes chez vous !! A très bientôt !!!! Loyer : 300€ + 40€ de charges (elec, eau, pas de gaz)",8/12/2020
41,Appartement,Colocation,350,700,68,"10,29411765",3,2,,VALENCE,"Commerces, transports,école,bus en bas de l'immeuble. L’appartement ce situe à 5 a 10 min minutes du centre ville de Valence,",4,,,,,,https://www.leboncoin.fr/colocations/1895972981.htm,"Femme recherche colocatrice propre,discrète,sérieuse et non fumeuse pour une chambre de 12m² entièrement meublées (lit, bureau, chaise,..) dans un appartement de 70m². Disponible immédiatement Loyer 350e TTC ( chauffage, l'eau, l'électricité, internet ect...) Espace en commun: - Salon tout équipé. - Cuisine équipée (four, micro onde,plaque de cuisson, réfrigérateur , cafetière, bouilloire et vaisselle complète) - Salle d'eau simple vasque et douche, sèche serviette, lave-linge, plusieurs rangement - WC séparé Commerces, transports,école,bus en bas de l'immeuble. L’appartement ce situe à 5 a 10 min minutes du centre ville de Valence, Appartement éligibles au APL.",15/12/2020
