Référence,Type de bien,Prix de vente,Surface totale,€/m²,Nb pièces,Nb chambres,Autres,Commune,Détail Localisation,Note localisation,Etiquette NRJ,Etiquette GES,Coût copro /an,Coût charge /an,Autres coûts /an,Prix location /mois,Lien,Description entière annonce,Date publication annonce,
63,Appartement,144720,60,2412,3,2,balcon sud,CLERMONT-FERRAND,Montjuzet,2,E,F,,,,,https://www.leboncoin.fr/ventes_immobilieres/1895830017.htm,"Bel appartement T3 clé en main avec balcon, garage et cave - Proche Montjuzet/La Glacière Era Immobilier Jaude vous propose : à proximité du Parc Montjuzet, vous trouverez votre bonheur dans cette petite copropriété ! Charmant appartement T3 traversant refait entièrement à neuf au premier étage. Cuisine aménagée et semi-équipée, pièce à vivre donnant sur le balcon (exposé SUD), deux belles chambres avec placards intégrés, une salle d'eau avec WC séparés. Contactez dès maintenant votre conseillère Margaux GOMOT (RSAC Clermont Ferrand : 889 858 031) : 06.23.72.39.62 Honoraires charge vendeur MARGAUX GOMOT Agent Commercial - Numéro RSAC : 889858031 - Référence annonce : 148 Les honoraires sont à la charge du vendeur",15/12/2020,
64,Appartement,230000,89,"2584,269663",4,3,"parking privé extérieur, d'une cave et d'un grenier.",CLERMONT-FERRAND,,,B,C,,,,,https://www.leboncoin.fr/ventes_immobilieres/1874480589.htm,"MANDAT CONFIANCE - CLERMONT-FD Découvrez ce bel appartement traversant et lumineux de 89.40 m² situé au premier étage d'un immeuble de standing en pierre de taille. I Intégralement refait à neuf avec gout et profitant d'une double exposition EST- OUEST, il se compose comme suit : Une entrée desservant un double séjour/salle à manger au calme sur jardin, une cuisine ouverte aménagée et équipée, trois chambres, une salle d'eau et un WC séparé. Belle hauteur sous plafond, parquets, cheminées, double vitrage sont au rendez-vous. Le chauffage est individuel au gaz. Enfin, il bénéficie d'un parking privé extérieur, d'une cave et d'un grenier. Référence annonce : 19413 Les honoraires sont à la charge du vendeur A propos de la copropriété : Nombre de lots : 10 Charges prévisionnelles annuelles : 1 €",15/12/2020,
65,Appartement,175000,89,"1966,292135",4,3,terrasse,CLERMONT-FERRAND,,,D,E,,,,,https://www.leboncoin.fr/ventes_immobilieres/1842741466.htm,"CLERMONT-FERRAND Venez visiter cet appartement en dernier étage avec une terrasse plein ouest avec vue sur les montagnes !!! Cet appartement est situé aux portes du centre-ville et bénéficie de toutes les commodités. Il est composé d'un grand séjour donnant sur la terrasse. La cuisine donne également sur la terrasse. Il possède trois chambres, une très belle salle d'eau ainsi qu'un WC séparé. Il bénéficie d'une buanderie et de nombreux rangements. Le chauffage est individuel au gaz par une chaudière de 2017. Enfin, une cave et un garage viennent compléter ce bien. A visiter rapidement!!! Référence annonce : 19348 Les honoraires sont à la charge du vendeur A propos de la copropriété : Charges prévisionnelles annuelles : 1 €",15/12/2020,
66,Appartement,99000,76,"1302,631579",3,2,balcon,CLERMONT-FERRAND,"à proximité du TRAM, des écoles, et offre un accès facile au centre ville et aux commerces.",3,D,F,,,,,https://www.leboncoin.fr/ventes_immobilieres/1753029195.htm,"CLERMONT FERRAND Dans un environnement calme et arboré, découvrez cet appartement spacieux et entièrement rénové. Cet appartement dispose d'une très belle pièce de vie donnant sur un balcon ensoleillé, d'une cuisine ouverte, moderne, aménagée et équipée de deux chambres, d'une salle de bains, d'un wc séparé et de nombreux rangements. Une cave complète la vente de ce bien. Le stationnement est très facile, la vue est dégagée et l'on possède notamment une vue puy de dôme. La situation géographique de celui-ci est idéal puisqu'il se situe à proximité du TRAM, des écoles, et offre un accès facile au centre ville et aux commerces. Référence annonce : 18789 Les honoraires sont à la charge du vendeur A propos de la copropriété : Charges prévisionnelles annuelles : 1 €",15/12/2020,
67,Appartement,109000,90,"1211,111111",4,2,"Possibilité 3 chambres, cave",SAINT-ETIENNE,Cité du design / place Foch et de Bergson,3,,,,,,,https://www.leboncoin.fr/ventes_immobilieres/1896939722.htmm,"Bel appartement situé sur le secteur bel air, à deux pas de la cité du design (arrêt de tram à 2 min), de la place Foch et de Bergson. Résidence rénovée et sécurisée avec présence d'une concierge. Places de parking collectives. - cuisine équipée récente avec électroménager, - 2 grandes chambres (possibilité 3 chambres), - Grand salon lumineux de 30 m2, - salle de bain moderne, - Grande cave, - Baies vitrées en aluminium avec volets roulants télécommandés installés en 2019, Nombreux commerces à proximité, arrêt de tram, bus au pied de l'immeuble (L12), marché de Carnot, espaces verts, parc de Montaud. La ville et la verdure à proximité sans le bruit. Quartier très calme et sécurisé. Aucun frais à prévoir. Pas d'agence et premier contact par mail !",24/12/2020,
68,Appartement,168500,118,"1427,966102",5,3,"Possibilité 4 chambres, entièrement rénové, cuisine neuve",SAINT-ETIENNE,"ules Janin, à proximité de la gare Chateaucreux, du parc des expositions, du centre commercial STEEL",4,D,E,3000,,,,https://www.leboncoin.fr/ventes_immobilieres/1872640916.htm,"SAINT ETIENNE, Jules Janin, à proximité de la gare Chateaucreux, du parc des expositions, du centre commercial STEEL, de la patinoire, et de toutes les commodités commerciales et administratives, dans une résidence calme et sécurisée, je suis un appartement T5 de 118 m2 au sol (111 m2 loi Carrez) vendu avec une cave et un garage. Mon espace de vie est composé d'une cuisine indépendante, d'un vaste salon/salle à manger, lumineux avec accès au balcon et d'un bureau. Possibilité d'ouvrir la cuisine sur le séjour. Mon espace de nuit comprend 3 chambres (possibilité » d'une 4ème avec le bureau), 1 salle de bain, 1 salle d'eau et 1WC indépendant. J'ai été entièrement rénové, cuisine neuve, menuiserie PVC double vitrage avec volets roulants électriques. UNIQUE dans la résidence, l'ascenseur arrive directement dans le hall de l'appartement et il est le seul sur le palier. Voir le plan en photo. Alors n'hésitez-pas un instant, je suis à votre disposition pour vous dévoiler toutes mes « mensurations » dans les détails et pour vous accueillir au cours d'une visite. - Montant moyen annuel de la quote part de charges (budget prévisionnel) : 3000 € soit 250 € par mois Le bien est soumis au statut de la copropriété. Bien en copropriété de : 50 lots. Honoraires à la charge du vendeur Pas de procédure en cours. Votre agent commercial 3G IMMO-CONSULTANT sur place Maurice GINOT Inscrit au RSAC de SAINT-ETIENNE 342 699 006, Tel : 0607395788 Référence annonce : 137274MG-1462368159 Les honoraires sont à la charge du vendeur A propos de la copropriété : Nombre de lots : 50 Charges prévisionnelles annuelles : 3000 €",24/12/2020,
69,Appartement,101200,98,"1032,653061",5,3,,SAINT-ETIENNE,METARE,2,D,E,2088,,,,https://www.leboncoin.fr/ventes_immobilieres/1900416284.htm,"Appartement de Type F5 - 98m² Saint Etienne Métare ST ETIENNE METARE : Appartement spacieux, de type F5 de 98m² au 9eme étage avec ascenseur, sans vis à vis et très lumineux. Vaste salon-séjour de 29m², cuisine équipée avec cellier. 3 chambres avec une salle de bain, une salle d'eau et un WC séparé. Belles prestations. A VOIR ABSOLUMENT Référence annonce : 1699 Les honoraires sont à la charge du vendeur A propos de la copropriété : Charges prévisionnelles annuelles : 2088 €",24/12/2020,
70,Appartement,179000,103,"1737,864078",4,2,"Possibilité 3 chambres, cave, garage en sous sol",SAINT-ETIENNE,Foch parc ARMEVILLE,3,D,E,2858,,,,https://www.leboncoin.fr/ventes_immobilieres/1825915213.htm,"Secteur Foch Parc ARMEVILLE F4 en dernier étage avec deux ba Exclu 42ème AVENUE : Produit rare : venez decouvrir ce magnifique F4 au parc d'Armeville en dernier étage offrant 103 m2 habitable rénové il y a 3 ans. Cet appartement se compose d'une cuisine entièrement équipée, un double séjour exposé ouest avec son accès balcon, deux chambres (possibilité 3), salle d'eau équipée, wc indépendant. Menuiserie en double vitrage pvc avec volets electrique, électricité refaite. Chauffage collectif gaz avec répartiteurs. Cave, garage en sous sol. Residence sécurisée parfaitement entretenue. Bien soumis au régime de la copropiété : charges annuelles ( 2858 EUR comprenant les charges communes générales, le chauffage, l'eau chaude, les charges de garage et l'entretien des espaces verts ainsi qu'un fonds travaux) Pour plus de renseignements veuillez contacter Yohan PEYRARD 0632900404. Cette annonce vous est proposée par M. Yohan PEYRARD, NoRSAC: , Enregistré à de Référence annonce : 1277-01 Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours",24/12/2020,
71,Appartement,137000,117,"1170,940171",5,4,,SAINT-ETIENNE,Carnot/Cret de Roc,3,C,D,,,,,https://www.leboncoin.fr/ventes_immobilieres/1887309498.htm,"Saint Etienne Carnot/Cret de Roc T5 pièce(s) en duplex 117 m²/4chambres + terrasse 6,58 m² Saint-Étienne, dans rue calme entre Crêt de roc et Carnot, au sein d'une copropriété composée de 2 duplex avec cour intérieure avec chacun son espace terrasse (non privative) T5 de 117 m² en duplex proposant 4 chambres, le tout en bon état général.. Vous entrez dans l'appartement par la cour intérieure et la terrasse. L'entrée dessert une cuisine indépendante de 14,56m², parquet flottant au sol, aménagée et équipée avec des meubles hauts et bas, une hotte, et une plaque cuisson 4 gaz. Cette cuisine ouvre sur un séjour de 20.23 m², peintures en bon état et parquet flottant neuf. Au rez-de-chaussée vous disposez également d'un WC et d'une buanderie de 4.21 m² avec branchement machine à laver.. Un escalier carrelé dessert l'étage composé de 4 chambres de 17.02 m² + rangement de 2,39m², 12.4 m², 13.25 m² et 11,88 m², une salle de douche de 4,83 m², carrelée sol et murs et équipée d'un miroir, luminaires, meuble sous vasque et douche.. Chauffage au gaz avec chaudière à condensation DE DIETRICH de 2014 et vannes thermostatiques ; maison réseau récemment isolée par l'intérieur ; Coût gaz mensuel 171 euros . L'ensemble des sols et des murs ont été rafraîchis depuis 2014 ; salle de bain rénovée ; double vitrage PVC de 2014 et volets bois ; tableau électrique de 2014 avec réfection du câblage électrique. Prévoir quelques finitions de rénovation. 4 caves.. La terrasse de 6,58 m² sur cour intérieure est exposée sud et au calme. . Pas de charges (autre que assurance de l'immeuble)- Référence annonce : E1R4KW Les honoraires sont à la charge du vendeur A propos de la copropriété : Nombre de lots : 2",24/12/2020,
72,Appartement,112000,98,"1142,857143",5,4,2 balcons et garage,SAINT-ETIENNE,Monthieu centre,3,E,F,2951,,,,https://www.leboncoin.fr/ventes_immobilieres/1879757569.htm,"Saint Etienne Monthieu centre, T5 98m² /4ch/balcons/garage / PARFAIT ETAT EN EXCLUSIVITE, Saint-Étienne au centre de Monthieu, à proximité immédiate des commerces, des écoles, du centre commercial de Monthieu, du Steel et de l'autoroute, T5 en parfait état de 98 m² proposant une pièce de vie de 42 m², 4 chambres, 2 balcons et garage.. Vous entrez directement dans la pièce de vie proposant un espace cuisine en bon état aménagé et équipé de meubles hauts et bas, plaque induction, hotte, four et micro-ondes. Cette pièce intègre un espace repas et un espace salon ouvrant par une baie vitrée sur un balcon de 3,30 m², gazon synthétique au sol où vous pourrez installer une table et deux chaises. En prolongement du séjour vous disposez d'une chambre de 9 m² accédant à un second balcon de 3 m².. Le dégagement nuit intégré à la pièce de vie dessert 3 chambres de 14,18 m², 12,32 m² et 11,12 m², dont deux avec rangement ; la salle de bain de 5,85 m² est carrelée sol et murs et propose baignoire, grande douche fermée, un meuble sous vasque, miroir, 1 meuble colonne et fenêtre. WC indépendant en parfait état avec lave-mains et fenêtre. 2 rangements complémentaires sur le dégagement nuit. . L'ensemble des peintures sont récentes et en bon état, les carrelages et sols PVC des chambres sont actuels ; L'appartement est moderne et agréable. Double vitrage PVC et volets roulants électriques.. Au sous-sol, vous disposez d'un garage box fermé et d'une cave.. Charges moyennes mensuelles de 246 euros incluant chauffage collectif au gaz sans répartiteurs, eau chaude avec compteur, ascenseur, entretien des communs, sortie des poubelles, charges générales + 18,30euros de fond de réserve pour travaux. Taxe foncière 1215euros.. Cet appartement conviendra parfaitement à une jeune famille avec 3 enfants ... Référence annonce : E1R7WJ Les honoraires sont à la charge du vendeur A propos de la copropriété : Nombre de lots : 10 Charges prévisionnelles annuelles : 2951 €",24/12/2020,
73,Appartement,124000,118,"1050,847458",4,3,Possibilité 4 chambres,SAINT-ETIENNE,HYPER CENTRE mais aussi à proximité d'une gare,3,C,D,757,,,,https://www.leboncoin.fr/ventes_immobilieres/1899919079.htm,"Vente Appartement 4 pièces iad France - Mélanie GRIESSEMANN (06 09 37 49 69) vous propose : Saint-Etienne, HYPER CENTRE mais aussi à proximité d'une gare: venez découvrir cet agréable appartement de 118m2 environ situé au deuxième étage. Il est actuellement composé de 3 chambres spacieuses (POSSIBILITE 4), un salon-séjour lumineux exposé sud, une cuisine indépendante, un espace buanderie, une salle de bains et un WC indépendant. De nombreux rangements complètent le tout. L'appartement dispose également d'un balcon ainsi que d'une très grande cave. Chauffage gaz individuel. Pas de travaux à prévoir sur la copropriété. Disponible 7j/7, me contacter pour plus d'informations ! La présente annonce immobilière vise 1 lot principal situé dans une copropriété formant 5 lots au total ne faisant l'objet d'aucune procédure en cours et d'un montant de charges d'environ 63.08 € par mois (soit 757 € annuel) déclaré par le vendeur.Honoraires d'agence à la charge du vendeur.Information d'affichage énergétique sur ce bien : DPE C indice 99 et GES D indice 23. La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mme Mélanie GRIESSEMANN (ID 36730), Agent Commercial mandataire en immobilier immatriculé au Registre Spécial des Agents Commerciaux (RSAC) du Tribunal de Commerce de SAINT ETIENNE sous le numéro 834555310. Référence annonce : 870488 Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours Nombre de lots : 10 Charges prévisionnelles annuelles : 757 €",22/12/2020,
74,Appartement,148000,105,"1409,52381",5,3,"balcon, garage, cave",SAINT-ETIENNE,Rue Michelet,4,D,C,,1752,,,https://www.leboncoin.fr/ventes_immobilieres/1899793113.htm,"APPARTEMENT T5 AVEC BALCON ET GARAGE Rue Michelet Appartement F4 de 106M2, 7ème étage et dernier avec ascenseur dans rue calme et agréable Rue Michelet. Se compose : grande pièce à vivre donnant sur balcon, cuisine séparée, 3 chambres, 2 salle de bains , 1wc, double vitrage, volets et chauffage IND élèctrique, garage, cave, loggia et balcon de 12M2 . Charges 146/Mois. Contact: 0627381615 Mlle cuoq. 19 lots dans la copropriété, Tantiemes: 960/10000, Pas de procédure en cours . - Annonce rédigée et publiée par un Agent Mandataire - Référence annonce : 5_0636i Les honoraires sont à la charge du vendeur",22/12/2020,
75,Appartement,99990,85,"1176,352941",4,3,"cave, ascenseur local à velos",GRENOBLE,A proximité immédiate de la station La Bruyère du tram A,3,D,F,,2040,1400,,https://www.leboncoin.fr/ventes_immobilieres/1905562975.htm,"Grenoble - T4 de 85,25 m2 au deuxième étage, entièrement meublé, orienté Est, avec cave. A proximité immédiate de la station La Bruyère du tram A, à deux stations de Grand Place, groupe scolaire Malherbe jouxtant la copropriété, pharmacie et commerces au pied de l'immeuble, grand parc arboré avec jeux sous les fenêtres. Stationnement facile au pied de l'immeuble. Cet appartement est composé de 3 chambres et d'une belle cuisine. La pièce de vie, qui mesure plus de 29 m², en exposition Est, est très lumineuse. Elle donne accès à une belle loggia vitrée de plus de 6 m² avec vue imprenable sur Chamrousse et les massifs de l'Oisans. Cuisine moderne attenante à la pièce de vie, comprenant de nombreux éléments hauts et bas, avec réfrigérateur-congélateur, plaque de cuisson électrique, four encastré, four micro-ondes, hotte, lave vaisselle. Un lave linge se trouve dans la salle de bain qui comprend baignoire et double vasque. Grand cellier à proximité des chambres. Placards de rangement dans l'une des chambres. Peintures récentes, libre de suite, habitable immédiatement, sans travaux de rénovation. Peut être loué en l'état. Caméras de surveillance à l'entrée. Gardien habitant sur place. Chauffage par radiateurs collectifs. Ascenseur. Équipé fibre, cave, local à vélos. Bien soumis au statut de copropriété. Charges : 170 euros mensuels, chauffage compris. Taxe foncière annuelle : 1400 euros.",06/01/2021,
76,Appartement,130000,65,2000,4,3,"grand balcon, cave",GRENOBLE,proche tram (lequel?),,D,E,,816,,,https://www.leboncoin.fr/ventes_immobilieres/1853513273.htm,"Grenoble - MAGNIFIQUE T4 REFAIT A NEUF + BALCON Secteur les Alliés.. Résidence 'Les Alpins', superbe appartement T4 refait à neuf traversant et lumineux, cuisine équipée semi ouverte sur belle pièce de vie donnant sur grand balcon sans vis à vis; 3 chambres avec placards; salle de bain carrelée. Double vitrage pvc + volets roulants électriques, porte blindée. Cave.. Parc arboré avec jeux pour enfants. Stationnement facile. Proche toutes commodités (tram, écoles, commerces). Référence annonce : E1PXKZ Les honoraires sont à la charge du vendeur A propos de la copropriété : Nombre de lots : 100 Charges prévisionnelles annuelles : 816 €",06/01/2021,
77,Appartement,169000,48,"3520,833333",3,2,"deux balcons, cave, local a velo",GRENOBLE,AIGLE/ VALLIER LIBERATION,5,D,E,,950,,,https://www.leboncoin.fr/ventes_immobilieres/1847092899.htm,"Appartement 3 pièces Appartement T3 dernier étage avec deux balcons vue dégagéeAIGLE/ VALLIER LIBERATION au 7 -ème et dernier étage d'un immeuble de 20 lots principaux, lumineux et traversant T3 de 49 m² composé d'un salon avec balcon,cuisine aménagée avec balcon, deux belles chambres avec balcons, très bon état, Double vitrage, chauffage individuel au gaz, cave, local à vélos. Pour plus d'informations, vous pouvez nous joindre au 07.62.94.53.83 Référence annonce : 49802-1939 Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours Nombre de lots : 20 Charges prévisionnelles annuelles : 950 €",06/01/2021,
78,Appartement,175000,83,"2108,433735",4,3,"garage, ascenseur, gardien espaces verrts",GRENOBLE,SECTEUR EAUX CLAIRES,3,C,D,,,,,https://www.leboncoin.fr/ventes_immobilieres/1853502974.htm,"Appartement 4 pièces T4 + GARAGE BEAUX VOLUMES SECTEUR EAUX CLAIRESEn exclusivité, un appartement de type T4 + GARAGE d'environ 84m2 situé au 2eme étage d une copropriété bien entretenue avec 2 ascenseurs, gardien et espaces verts, situé sur le secteur des Eaux Claires. Le bien dispose de 3 belles chambres, d'un grand balcon accessible par toutes les pièces. Exposition dominante à l EST, double vitrage PVC, beaucoup de rangements. Rafraichissement a prévoir.Une cave complete le bien. Pour plus d'informations, vous pouvez nous joindre au 07.62.94.53.83 Référence annonce : 49844-1939 Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours Nombre de lots : 20 Charges prévisionnelles annuelles : 10 €",06/01/2021,
79,Appartement,109000,86,"1267,44186",4,3,"cave, place de parking, ascenseur, terrasse 7m², garage en plus pour 20000€",GRENOBLE,proche tram A,,D,C,,2160,,,https://www.leboncoin.fr/ventes_immobilieres/1690224618.htm,"GRENOBLE - Tram A et toutes commodités APPARTEMENT 4 PIÈCES AVEC TERRASSE - VUE SUR MONTAGNE À vendre dans la ville de Grenoble (38100) : grand appartement de 86 m² au 15e étage d'un immeuble avec ascenseur. Cet appartement de 4 pièces est organisé comme suit : une pièce à vivre, trois chambres et une cuisine indépendante et équipée. Il dispose aussi d'une salle d'eau. En annexe, il bénéficie d'une cave, d'une place de parking et d'une terrasse (7 m²). Vue sur les montagnes. GRAND GARAGE POSSIBLE EN SOUS-SOL + 20.000 EUROS Proche établissements scolaires, restaurants, conservatoire, théâtres et bureaux de poste. Cet appartement de 4 pièces est proposé à l'achat pour 109 000 € (honoraires à la charge du vendeur). Envie d'en savoir plus sur cet appartement en vente ? Prenez contact avec notre équipe. Référence annonce : GRENOBLE42-FSI Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours Charges prévisionnelles annuelles : 2160 €",06/01/2021,
80,Appartement,110000,66,"1666,666667",4,"2,5","balcon, cave, ",GRENOBLE,,,D,D,,742,,,https://www.leboncoin.fr/ventes_immobilieres/1906468294.htm,"Appartement en dernier étage avec balcon EXCLUSIVITE - GRENOBLE - Appartement de type T4 d'une superficie de 66.92 m² en dernier étage. L'appartement se compose d'un séjour double, une cuisine aménagée, 2 chambres (possibilité de faire une troisième chambre très facilement), une salle de bains avec baignoire et des toilettes séparées. Dans le séjour, un balcon exposé Est avec une vue dégagée sur les montagnes. Côté chambres et cuisine, la vue donne sur le massif du Vercors. L'appartement est vendu avec une cave. Petite copropriété de 12 lots principaux (et 8 secondaires) - Charges : 742 €/An. Référence annonce : 1001-4565186 Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours Nombre de lots : 20 Charges prévisionnelles annuelles : 742 €",06/01/2021,
81,Appartement,170000,90,"1888,888889",4,2,"balcon, cave, garage en option",GRENOBLE,Secteur Eaux Claires,3,C,D,,2480,,,https://www.leboncoin.fr/ventes_immobilieres/1815607562.htm,"Vente Appartement 3 pièces iad France - Marie-Christine BAUDET (06 08 99 34 92) vous propose : GRENOBLE (38100) - Secteur Eaux Claires Imaginez, ce bel appartement T4 traversant Sud/Nord, entretenu mais à rafraichir avec son vaste séjour lumineux ouvrant sur long balcon filant au sud, sa cuisine dînatoire spacieuse et fonctionnelle, une partie nuit séparée comprenant deux grandes chambres, un dressing aménagé, salle de bain avec cabine de douche et toilettes séparées. Une cave en sous-sol complète le bien. Un garage est proposé en option. Résidence 'LES HORIZONS' bien entretenue et sécurisée. Nombreux espace verts, parkings et tennis dans la résidence. Etage élevé (7/12) avec vue dégagée sur les massifs et aucun vis-à-vis. Chauffage collectif par radiateurs. Porte blindée. Les photos sont des propositions de rafraichissement à prévoir. La présente annonce immobilière vise 1 lot principal situé dans une copropriété formant 188 lots au total ne faisant l'objet d'aucune procédure en cours et d'un montant de charges d'environ 206.67 € par mois (soit 2480 € annuel) déclaré par le vendeur.Honoraires d'agence à la charge du vendeur.Information d'affichage énergétique sur ce bien : DPE C indice 130 et GES D indice 30. La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de M. Marie-Christine BAUDET (ID 23413), Agent Commercial mandataire en immobilier immatriculé au Registre Spécial des Agents Commerciaux (RSAC) du Tribunal de Commerce de GRENOBLE sous le numéro 830099222. Référence annonce : 790626 Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours Nombre de lots : 366 Charges prévisionnelles annuelles : 2480 €",06/01/2021,
82,Appartement,140000,70,2000,3,2,,GRENOBLE,rue stalingrad (proche bd marechal foch),3,,,,,,,https://www.leboncoin.fr/ventes_immobilieres/1906411496.htm,"Grenoble, rue de Stalingrad (proche Bd Marechal Foch), T3 70 m² à rafraichir. Beau potentiel. 3ème Etage avec ascenseur Résidence sécurisée par Digicode Appartement très clair et bien distribué. Les chambres sont assez grandes. On peut ouvrir la cuisine sur le salon pour faire une très grande pièce avec cuisine américaine. Triple exposition : -Salon plein Sud -2 Chambres exposées Est -Grande Cuisine dinatoire exposée Ouest Chauffage Gaz individuel. Chaudière récente utilisée 2 ans. Il faut rafraichir les peintures, refaire la salle de bain et la cuisine. Possibilité d'acheter un box extérieur dans la copropriété. Visite possible sur rendez-vous du 6/01 11h30 au 8/01 14h30. Appelez le 06 16 40 07 84 pour prendre rendez-vous. Agence s'abstenir.",06/01/2021,
83,Appartement,136000,53,"2566,037736",3,2,"ascenseur, balcon, ",GRENOBLE,IUFM MOUNIER,,F,G,,798,,,https://www.leboncoin.fr/ventes_immobilieres/1906447637.htm,"GRENOBLE IUFM MOUNIER coquet 3P+C refait à neuf, bénéficiant d'une position dominante, au dernier étage avec ascenseur d'un immeuble dont la façade va être intégralement refaite avec une isolation par l'extérieur (prise en charge par les vendeurs). Très jolie vue dégagée sur les massifs, balcon, calme absolu. Séjour orienté à l'ouest avec son balcon, deux chambres et salle d'eau rénovée avec douche, cuisine aménagée. Chauffage individuel au gaz. Appartement à proximité du TRAM et de tous commerces, ayant fait l'objet d'une rénovation récente (double vitrage, parquet chêne massif, peinture, salle d'eau, électricité ). A voir au plus vite! Référence annonce : 17261-4593638 Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours Nombre de lots : 50 Charges prévisionnelles annuelles : 798 €",05/01/2021,
84,Appartement,158900,90,"1765,555556",4,"2,5","parking, tennis, balcon, ",GRENOBLE,,,C,D,,1641,,,https://www.leboncoin.fr/ventes_immobilieres/1906096580.htm,"ETAGE ELEVE - BALCON - VUE MASSIFS - PARKING A VOIR ABSOLUMENT ! Dans résidence de bon standing, sécurisée, calme et très bien entretenue, avec espaces verts, parking et tennis LES HORIZONS (188 lots principaux). Appartement 4 P+C et dépendances - 90 m² env. au 9ème étage / 12 - traversant, lumineux, sans aucun vis à vis avec vue panoramique sur 3 massifs, à proximité de toutes les commodités (écoles, transports, tous commerces). Composé d'un séjour double de 35 m² env. ouvrant sur balcon de 13m² env., expo Ouest, cuisine indépendante, expo. Est, 2 chambres (possibilité 3), salle de bains, toilettes séparées et dressing. Fenêtres neuves double vitrage PVC oscillo-battant - Ce bien à rafraîchir offre un énorme potentiel, il est vendu avec 1 cave en sous-sol. Charges courantes : 1.641,54 €/an (Ent. copro - Chauff. et eau F/C avec compteurs individuels) CLASSE ÉNERGIE : C - 158.900 Euros - Honoraires charge Vendeur. Agent Commercial : Mme Michèle CARRETERO 06.37.90.16.24 - RSAC GRENOBLE N°431896307 *** Référence annonce : V897-4284231 Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours Nombre de lots : 366 Charges prévisionnelles annuelles : 1642 €",05/01/2021,
85,Appartement,112000,90,"1244,444444",5,3,"cave et parking privé, balcon",CLERMONT-FERRAND,,,D,E,,2292,,,https://www.leboncoin.fr/ventes_immobilieres/1885045797.htm,"Trés bel Appartement entiérement rénové avec goût d'une surface de 90 m2 hab avec balcon. Il est composé d'une cuisine aménagée, d'un grand séjour salle à manger, de 3 chambres, d'une salle de bains, wc, cave et parking privé. Belles prestations!! il est situé rue des hauts de chanturgue. - Montant moyen annuel de la quote part de charges (budget prévisionnel) : 2292 € soit 191 € par mois Le bien est soumis au statut de la copropriété. Bien en copropriété de : 162 lots. Honoraires de 6.67 % TTC inclus à la charge de l'acquéreur (105 000 € hors honoraires) Pas de procédure en cours. Votre agent commercial 3G IMMO-CONSULTANT sur place Yasmina MEKADEM Inscrite au RSAC de CLERMONT-FERRAND 445 012 354, Tel : 06 86 67 27 85 Référence annonce : 137994YM-1462368756 A propos de la copropriété : Charges prévisionnelles annuelles : 2292 €",10/01/2021,
86,Appartement,99500,67,"1485,074627",4,3,balcon,CLERMONT-FERRAND,Vallières/Stade Philippes Marcombes,3,E,F,,703,,,https://www.leboncoin.fr/ventes_immobilieres/1899485273.htm,"Quartier très recherché ! Vallières/Stade Philippes Marcombes - F4 en dernier étage avec balcon, vue dégagée et travaux. Nichée au dernier étage (3ème étage) d'une copropriété à taille humaine, venez découvrir ce logement agréable à vivre ; l'appartement très lumineux, dispose d'une double exposition. La pièce de vie donne accès au balcon et la cuisine avec une loggia ; la partie nuit comprend un dressing, des placards, 3 chambres, une salle de bains et des WC indépendants. Une cave Les plus : Chauffage individuel Gaz, double vitrage PVC - Fibre dans l'immeuble - Pas d'ascenseur - Pas de stationnement mais place gratuite dans la rue - proximité du stade Philippes Marcombe pour les sportifs (video du projet en cours de finition : ***?v=FHkAHUBoQlg&feature=emb_title) Immeuble entretenu : Réfection des façades 2011, Remplacement gardes corps des balcons 2011, Isolation des combles 2011, Porte de l'immeuble changée 2007, Etanchéïté cheminée 2007, Réfection des enrobés des parties communes 2013... plus de gros travaux à prévoir sauf dans le logement ! Magali Vedrine sera disponible au 07 69 61 65 05 pour plus de renseignements - Montant moyen annuel de la quote part de charges (budget prévisionnel) : 702.6 € soit 58.55 € par mois Le bien est soumis au statut de la copropriété. Bien en copropriété de : 16 lots. Honoraires à la charge du vendeur Pas de procédure en cours. Votre agent commercial 3G IMMO-CONSULTANT sur place Magali VEDRINE Inscrite au RSAC de CLERMONT FERRAND 830 705 497, Tel : 07 69 61 65 05 Référence annonce : 138866MV-1462369499 Les honoraires sont à la charge du vendeur A propos de la copropriété : Nombre de lots : 16 Charges prévisionnelles annuelles : 703 €",10/01/2021,
