Référence,Type de bien,Prix de vente,Surface totale m²,€/m²,Nb pièces,Nb chambres,Autres,Commune,Détail Localisation,Note localisation,Etiquette NRJ,Etiquette GES,Coût copro /an,Coût charge /an,Autres coûts /an,Prix location /mois,Lien,Description entière annonce,Date publication annonce
30,Appartement,147000,101,1 455 €,5,3/4,"balcon, terrasse",GRENOBLE,/,/,D,D,/,2 188 €,/,/,https://www.leboncoin.fr/ventes_immobilieres/1874753083.htm,"La copropriété MALHERBE OUEST est très bien tenue et très calme. Elle est caractéristique des belles résidences des années 70 avec ses parties communes lumineuses, ses boites aux lettres en bois aux normes, son vaste ascenseur et les beaux volumes des appartements. Quant à l'appartement, après un petit rafraichissement, il retrouvera sa splendeur d'autrefois avec son séjour double et ses trois belles chambres (voire 4?), sa vraie cuisine, sa salle d'eau avec douche, son dressing, sa buanderie, son balcon, sa terrasse et sa vue sublime sur nos massifs. Et, le petit plus qui va finir de vous convaincre, vous pourrez acheter un garage dans la copropriété pour 14.000 €. Alors ? Quand programmons-nous une visite ? CAPITAL IMMOBILIER Martine REVURAT MACIEJEWSKI 06 70 03 42 07 1 quai Créqui 38000 GRENOBLE Charges annuelles 2188€/an avec chauffage, eau chaude et eau froide 169 lots Honoraires à la charge du vendeur",08/12/2020
31,Appartement,125000,82,1 524 €,4,/,/,GRENOBLE,eaux claires,3,C,D,/,/,/,/,https://www.leboncoin.fr/ventes_immobilieres/1891768243.htm,Pas d'agence ni de mandataire merci. Appartement 82m2 situé aux eaux Claires dans une copropriété calme et rénovée. Plus d'informations sur demande. Garage possible en plus,08/12/2020
32,Appartement,113000,67,1 687 €,4,2/3,/,GRENOBLE,Libération Rondeau,2,D,D,/,/,/,/,https://www.leboncoin.fr/ventes_immobilieres/1891723913.htm,"Grenoble, Libération - Rondeau. F4 rénové de 67 m² dans copropriété ravalée et isolée par l'extérieur. Exposition est - sud, ne donne pas sur le cours de la Libération ! Au 5ème étage avec ascenseur. Le séjour double peut être séparé pour recréer une 3ème chambre. La cuisine (avec un cellier) est indépendante et peut être ouverte sur le séjour. Salle de bain neuve avec wc indépendants. Double vitrage, chauffage collectif. Les charges de 135 € / mois comprennent le chauffage. Interimmo38, agence à taux de commission réduit, membre du réseau grenoblois Bilik. Contactez Cyril Bouchayer aux 04 76 460 560 / 06 18 91 31 37",08/12/2020
33,Appartement,147500,68,2 169 €,3,2,"parking, cave",GRENOBLE,"Clémenceau, proche palais des sports",5,/,/,/,/,/,/,https://www.leboncoin.fr/ventes_immobilieres/1620420016.htm,"GRENOBLE CLEMENCEAU BEAU T3 DANS BELLE COPRO GRENOBLE PROX CLEMEMCEAU PALAIS DES SPORTS, ,T3 de 68m² bien exposé au 3 ème étage sur 4 dans belle copro récente bien entretenue avec ascenseur comprenant avec cuisine semi ouverte sur séjour ouvrant sur une terrasse, 2 chambres avec placard, salle de bains et wc séparé. Parking copro facile et cave. DPE D prox commerces transports etc... Contact Pascal VAZQUEZ Agent co au 0677673836 Référence annonce : 2212-2-4094258 Les honoraires sont à la charge du vendeur",08/12/2020
34,Appartement,174900,74,2 364 €,4,3,,GRENOBLE,quartier Mutualiste,4,E,E,/,2 118 €,/,630 €,https://www.leboncoin.fr/ventes_immobilieres/1879792294.htm,"Grenoble Mutualiste T4 avec locataire T4 Grenoble quartier Mutualiste, dans une copropriété de 29 lots bien tenue, ce T4 avec locataire en place, trois chambres, séjour, et cuisine séparée, en bon état général. chauffage collectif, charges de copropriété 2120. Actuellement loué depuis plus d'un an à une famille pour un loyer de 7560 € hors charges. a proximité du tram des grands Boulevards et la rocade. Il y a actuellement une action de la copropriété en justice à l'encontre de la Metro. DPE: E Taxe foncière:1500€ Prix:175000€ Référence annonce : 76-4563157 Les honoraires sont à la charge du vendeur A propos de la copropriété : Procédure en cours Nombre de lots : 29 Charges prévisionnelles annuelles : 2118 €",08/12/2020
35,Appartement,119000,73,1 630 €,3,2,"terrasse (50m2), cave",GRENOBLE,"Vigny Musset, Allée des 2 mondes.",2,D,D,/,1 596 €,/,/,https://www.leboncoin.fr/ventes_immobilieres/1891709807.htm,"Grenoble, Vigny Musset, Allée des 2 mondes. Appartement F3 au 1er étage avec ascenseur. L'appartement donne intégralement sur le jardin intérieur et clos de la copropriété : calme absolu ! Exposition ouest. La cuisine ouverte, le séjour et les deux chambres ouvrent sur une grande terrasse de 50 m². En remplaçant la baignoire par une douche à l'italienne l'appartement pourrait être accessible aux personnes à mobilité réduite. La base est saine, il suffit de prévoir quelques rafraichissements. Double vitrage, chauffage collectif. Les charges (133 € / mois) comprennent le chauffage, l'eau chaude et l'eau froide. Vendu avec une cave. Interimmo38, membre du réseau Bilik, agence à taux de commission réduit. Contactez Cyril Bouchayer aux 04 76 460 560 / 06 18 91 31 37",08/12/2020
36,Appartement,179000,73,2 452 €,3,2,/,GRENOBLE,Lakanal,5,E,B,/,660 €,/,/,https://www.leboncoin.fr/ventes_immobilieres/1731284527.htm,"Appartement type 3 Lakanal Au coeur du secteur Lakanal, je vous invite à venir découvrir cet appartement de type 3 situé au rdc d'une copropriété bien entretenue. Cet apppartement se compose de deux chambres, une cuisine ouverte sur séjour, une salle d'eau, un toilette. Idéal investissement ou profession libérale ! Une cave complète ce bien. Bien soumis au statut de copropriété. Contact: Karin Arnaud: 016923410/karin@karinarnaud.fr Référence annonce : 0004 Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours Charges prévisionnelles annuelles : 660 €",08/12/2020
37,Appartement,149000,76,1 961 €,4,2,balcon,GRENOBLE,dans quartier vivant et verdoyant agréable,/,/,/,/,2 400 €,/,/,https://www.leboncoin.fr/ventes_immobilieres/1886940783.htm,"Appartement T4 + balcon Grenoble, dans quartier vivant et verdoyant agréable T4, comprenant un séjour/salon lumineux avec accès balcon, cuisine, 2 chambres (possibilité 3), salle de bains, WC, vue superbe sur les massifs Belledonne et Vercors. Belle oportunité exclusive à découvrir. Prix : 149 000 EUR - BV IMMOBILIER - 04 76 40 60 33 - 06 85 10 75 81 Référence annonce : 2_949 Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours Charges prévisionnelles annuelles : 2400 €",08/12/2020
38,Appartement,155000,72,2 153 €,3,2,"terrasse, local à velo, garage(+13000€)",GRENOBLE,rue Lucien Andrieux,3,B,B,/,1 680 €,/,/,https://www.leboncoin.fr/ventes_immobilieres/1891690629.htm,"Grenoble, rue Lucien Andrieux. Proximité gendarmerie, bus, centres commerciaux, grands axes Appartement standing (normes pmr) F3 de 72 m² dans copropriété construite en 2012. 1er étage surélevé avec ascenseur, . Etat neuf ! Le séjour et sa cuisine ouverte équipée ouvrent sur une terrasse exposée est avec vue dégagée. 2 chambres exposée au nord. Grande salle de bain, wc séparés. Buanderie. L'appartement est proposé avec un garage en supplément + 13 000 €. Les charges (140 € / mois) comprennent une provision de chauffage collectif, d'eau froide et d'eau chaude. Local à vélo, visiophone. Interimmo38, membre du réseau Bilik, agence à taux de commission réduit. Contactez Cyril Bouchayer aux 04 76 460 560 / 06 18 91 31 37",08/12/2020
39,Appartement,139000,82,1 695 €,4,3,"Garage, cave",GRENOBLE,eaux claires,3,C,D,/,2372 (avec cg),/,/,https://www.leboncoin.fr/ventes_immobilieres/1891938335.htm,"APPARTEMENT T4 AVEC EXTERIEUR AU CALME 3%IMMO. Secteur Eaux Claires .Au calme, sans aucune nuisance, appartement au 1er étage avec garage entièrement rénové composé d'un beau salon avec accès direct sur un bel extérieur aménagé, d'une cuisine entièrement équipée et aménagée donnant directement sur la loggia avec vue sur un espace vert au calme, de trois belles chambres dont une de plus de 13m2 avec placard ( les 2 autres font 10.91 et 10.51 m2 avec placard), une belle salle de bains composée d'une baignoire et d'une double vasque et d'un WC indépendant. cave, fenêtres PVC double vitrage (sauf dans 2 chambres), Aucun travaux à prévoir. Bien soumis au statut de la copropriété de 198 lots( 63 appartements) 2 lots à vendre. charges/an: 2372 EUR ( 197 EUR / Mois ) pas de procédure en cours. Les charges comprennent le chauffage, l'eau chaude ainsi que les charges générales. Pour plus d'informations ou pour visiter, n'hésitez pas à contacter stéphanie au 06.99.18.21.68 Référence annonce : V10000025 Les honoraires sont à la charge du vendeur",08/12/2020
